Airfoil name : 2032cjc

Upper  X 	 Upper Y 
 0.04870	0.57480
 0.27110	0.90920
 0.57200	1.25600
 0.91160	1.60090
 1.24990	1.93000
 1.53230	2.20880
 1.78910	2.46720
 2.02970	2.71030
 2.26360	2.94280
 2.50000	3.17000
 2.95250	3.57680
 3.43620	3.97910
 3.94370	4.37410
 4.46740	4.75880
 5.00000	5.13000
 5.41010	5.40380
 5.82180	5.66830
 6.23580	5.92390
 6.65300	6.17080
 7.07420	6.40940
 7.50000	6.64000
 7.98860	6.89180
 8.48350	7.13380
 8.98420	7.36580
 9.48990	7.58790
 10.00000	7.80000
 10.81470	8.11520
 11.63790	8.40600
 12.46890	8.67310
 13.30680	8.91740
 14.15080	9.13940
 15.00000	9.34000
 15.99160	9.54700
 16.98820	9.72780
 17.98910	9.88400
 18.99330	10.01750
 20.00000	10.13000
 20.99800	10.22230
 21.99720	10.29760
 22.99750	10.35780
 23.99850	10.40460
 25.00000	10.44000
 25.83320	10.46190
 26.66650	10.47740
 27.49980	10.48680
 28.33320	10.49020
 29.16660	10.48780
 30.00000	10.48000
 32.00180	10.43990
 34.00290	10.37150
 36.00320	10.27730
 38.00230	10.15930
 40.00000	10.02000
 41.66960	9.88860
 43.33800	9.74430
 45.00530	9.58770
 46.67140	9.41950
 48.33630	9.24000
 50.00000	9.05000
 52.00330	8.80770
 54.00490	8.55160
 56.00490	8.28270
 58.00320	8.00190
 60.00000	7.71000
 62.00300	7.40670
 64.00450	7.09360
 66.00440	6.77120
 68.00290	6.43980
 70.00000	6.10000
 71.66900	5.80960
 73.33700	5.51380
 75.00410	5.21270
 76.67030	4.90660
 78.33560	4.59560
 80.00000	4.28000
 82.00240	3.89410
 84.00360	3.50200
 86.00360	3.10370
 88.00240	2.69970
 90.00000	2.29000
 90.83380	2.11730
 91.66740	1.94370
 92.50080	1.76910
 93.33400	1.59370
 94.16710	1.41730
 95.00000	1.24000
 96.00050	1.02580
 97.00070	0.81060
 98.00070	0.59440
 99.00050	0.37750
 100.00000	0.16000

 Lower X 	Lower Y
 0.04870	0.57480
 0.14880	-0.15630
 0.37160	-0.28510
 0.64540	-0.38570
 0.94600	-0.45740
 1.25000	-0.50000
 1.47510	-0.51300
 1.69030	-0.51130
 1.89800	-0.49790
 2.10060	-0.47610
 2.30050	-0.44910
 2.50000	-0.42000
 2.98870	-0.35250
 3.48610	-0.28900
 3.98920	-0.22730
 4.49490	-0.16510
 5.00000	-0.10000
 5.50380	-0.03010
 5.70800	0.00000
 6.00480	0.04380
 6.50390	0.12080
 7.00200	0.19990
 7.50000	0.28000
 7.91590	0.34700
 8.33230	0.41390
 8.74890	0.48070
 9.16580	0.54730
 9.58290	0.61380
 10.00000	0.68000
 11.00000	0.83760
 11.99980	0.99350
 12.99970	1.14750
 13.99970	1.29970
 15.00000	1.45000
 15.83270	1.57350
 16.66570	1.69570
 17.49890	1.81640
 18.33240	1.93580
 19.16610	2.05360
 20.00000	2.17000
 20.99910	2.30730
 21.99850	2.44170
 22.99840	2.57250
 23.99890	2.69880
 25.00000	2.82000
 25.99860	2.93500
 26.99800	3.04370
 27.99800	3.14600
 28.99870	3.24150
 30.00000	3.33000
 31.66390	3.46090
 33.32920	3.57270
 34.99570	3.66640
 36.66320	3.74310
 38.33140	3.80390
 40.00000	3.85000
 42.00000	3.88710
 44.00010	3.90560
 46.00020	3.90660
 48.00030	3.89100
 50.00000	3.86000
 51.66720	3.82300
 53.33420	3.77640
 55.00100	3.72040
 56.66750	3.65540
 58.33380	3.58180
 60.00000	3.50000
 62.00190	3.39130
 64.00330	3.27200
 66.00360	3.14310
 68.00270	3.00550
 70.00000	2.86000
 71.99850	2.70720
 73.99630	2.54710
 75.99490	2.37940
 77.99570	2.20380
 80.00000	2.02000
 81.67620	1.86020
 83.35270	1.69520
 85.02640	1.52590
 86.69430	1.35310
 88.35320	1.17750
 90.00000	1.00000
 90.98330	0.89260
 91.96800	0.78390
 92.96100	0.67290
 93.96940	0.55850
 95.00000	0.44000
 95.87820	0.33760
 96.76040	0.23360
 97.63000	0.12980
 98.47070	0.02840
 99.26620	-0.06890
 100.00000	-0.16000
