Airfoil name : AH 79-100 B

Upper  X 	 Upper Y 
 0.00000	0.00000
 0.10700	0.54400
 0.42800	1.06400
 0.96100	1.68300
 1.70400	2.34600
 2.65300	3.04800
 3.80600	3.74100
 5.15600	4.46300
 6.69900	5.20400
 8.42700	5.94400
 10.33200	6.65200
 12.40800	7.34200
 14.64500	7.97900
 17.03300	8.58300
 19.56200	9.12100
 22.22100	9.61400
 25.00000	10.03100
 27.88600	10.38600
 30.86600	10.65200
 33.92800	10.85200
 37.05900	10.96400
 40.24500	11.01500
 43.47400	10.98000
 46.73000	10.87900
 50.00000	10.69200
 53.27000	10.44000
 56.52600	10.10500
 59.75500	9.70900
 62.94100	9.23800
 66.07200	8.72100
 69.13400	8.15500
 72.11400	7.56500
 75.00000	6.95200
 77.77900	6.34400
 80.43801	5.73300
 82.96700	5.13800
 85.35500	4.54800
 87.59201	3.98500
 89.66800	3.43700
 91.57300	2.92300
 93.30100	2.42800
 94.84400	1.96800
 96.19400	1.52900
 97.34700	1.12900
 98.29600	0.76300
 99.03900	0.44400
 99.57200	0.19600
 99.89300	0.03100
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.00000
 0.10700	-0.32400
 0.42800	-0.62400
 0.96100	-0.87400
 1.70400	-1.01500
 2.65300	-1.07900
 3.80600	-1.08700
 5.15600	-1.05900
 6.69900	-0.99500
 8.42700	-0.90400
 10.33200	-0.79300
 12.40800	-0.66800
 14.64500	-0.52400
 17.03300	-0.37000
 19.56200	-0.19800
 22.22100	-0.01500
 25.00000	0.18500
 27.88600	0.39100
 30.86600	0.61500
 33.92800	0.84700
 37.05900	1.09900
 40.24500	1.35600
 43.47400	1.62200
 46.73000	1.88500
 50.00000	2.14700
 53.27000	2.39100
 56.52600	2.61000
 59.75500	2.79000
 62.94100	2.93600
 66.07200	3.03700
 69.13400	3.09900
 72.11400	3.11700
 75.00000	3.09700
 77.77900	3.03600
 80.43801	2.93700
 82.96700	2.79700
 85.35500	2.61900
 87.59201	2.40700
 89.66800	2.16900
 91.57300	1.91100
 93.30100	1.63900
 94.84400	1.35700
 96.19400	1.07100
 97.34700	0.79000
 98.29600	0.52700
 99.03900	0.31000
 99.57200	0.13600
 99.89300	0.01600
 100.00000	0.00000
