Airfoil name : ANDRUKOV

Upper  X 	 Upper Y 
 0.00000	0.60000
 2.50000	3.60000
 5.00000	5.00000
 7.50000	6.20000
 10.00000	7.00000
 15.00000	7.98000
 20.00000	8.57000
 25.00000	9.08000
 30.00000	9.24000
 40.00000	9.08000
 50.00000	8.40000
 60.00000	7.48000
 70.00000	6.39000
 80.00000	4.87000
 90.00000	2.94000
 100.00000	0.60000

 Lower X 	Lower Y
 0.00000	0.60000
 2.50000	0.08000
 5.00000	0.12000
 7.50000	0.59000
 10.00000	0.76000
 15.00000	1.43000
 20.00000	1.95000
 25.00000	2.50000
 30.00000	3.03000
 40.00000	3.70000
 50.00000	4.00000
 60.00000	3.95000
 70.00000	3.53000
 80.00000	2.77000
 90.00000	1.60000
 100.00000	0.00000
