Airfoil name : BE6606

Upper  X 	 Upper Y 
 0.00000	0.70000
 1.25000	2.25000
 2.50000	3.00000
 5.00000	4.00000
 10.00000	5.30000
 20.00000	7.15000
 30.00000	8.30000
 40.00000	8.75000
 50.00000	8.96000
 60.00000	9.00000
 70.00000	8.30000
 80.00000	6.80000
 90.00000	4.30000
 100.00000	0.60000

 Lower X 	Lower Y
 0.00000	0.70000
 1.25000	0.00000
 2.50000	0.20000
 5.00000	0.55000
 10.00000	1.25000
 20.00000	2.00000
 30.00000	2.50000
 40.00000	2.85000
 50.00000	2.95000
 60.00000	3.00000
 70.00000	2.80000
 80.00000	2.40000
 90.00000	1.50000
 100.00000	0.00000
