Airfoil name : BE8358B

Upper  X 	 Upper Y 
 0.00000	1.00000
 2.50000	4.30000
 5.00000	6.20000
 10.00000	8.90000
 20.00000	11.50000
 30.00000	12.20000
 40.00000	11.80000
 50.00000	10.70000
 60.00000	9.10000
 70.00000	7.10000
 80.00000	5.00000
 90.00000	2.70000
 100.00000	0.30000

 Lower X 	Lower Y
 0.00000	1.00000
 2.50000	0.00000
 5.00000	0.23000
 10.00000	1.15000
 20.00000	3.30000
 30.00000	4.60000
 40.00000	4.90000
 50.00000	4.80000
 60.00000	4.30000
 70.00000	3.50000
 80.00000	2.40000
 90.00000	1.25000
 100.00000	0.00000
