Airfoil name : BE8456D

Upper  X 	 Upper Y 
 0.00000	1.75000
 1.25000	3.55000
 2.50000	4.50000
 5.00000	5.95000
 7.50000	6.95000
 10.00000	7.60000
 15.00000	8.80000
 20.00000	9.50000
 25.00000	10.00000
 30.00000	10.20000
 40.00000	10.15000
 50.00000	9.20000
 60.00000	8.00000
 70.00000	6.40000
 80.00000	4.70000
 90.00000	2.70000
 95.00000	1.50000
 100.00000	0.30000

 Lower X 	Lower Y
 0.00000	1.75000
 1.25000	0.50000
 2.50000	0.25000
 5.00000	0.00000
 7.50000	0.20000
 10.00000	0.45000
 15.00000	1.05000
 20.00000	1.50000
 25.00000	2.00000
 30.00000	2.50000
 40.00000	3.20000
 50.00000	3.75000
 60.00000	4.00000
 70.00000	3.90000
 80.00000	3.10000
 90.00000	1.80000
 95.00000	0.90000
 100.00000	0.00000
