Airfoil name : D6

Upper  X 	 Upper Y 
 0.00000	0.70000
 1.25000	2.90000
 2.50000	4.00000
 5.00000	5.70000
 10.00000	7.90000
 20.00000	10.00000
 30.00000	10.60000
 40.00000	10.20000
 50.00000	9.30000
 60.00000	7.90000
 70.00000	6.10000
 80.00000	4.30000
 90.00000	2.30000
 100.00000	0.20000

 Lower X 	Lower Y
 0.00000	0.70000
 1.25000	0.00000
 2.50000	0.00000
 5.00000	0.50000
 10.00000	1.30000
 20.00000	2.60000
 30.00000	3.20000
 40.00000	3.40000
 50.00000	3.30000
 60.00000	2.90000
 70.00000	2.40000
 80.00000	1.80000
 90.00000	1.00000
 100.00000	0.00000
