Airfoil name : DA0101

Upper  X 	 Upper Y 
 0.00000	0.00000
 2.50000	2.20000
 5.00000	3.30000
 10.00000	5.10000
 20.00000	7.50000
 30.00000	8.50000
 40.00000	8.90000
 50.00000	8.60000
 60.00000	7.80000
 70.00000	6.40000
 80.00000	4.60000
 90.00000	2.50000
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.00000
 2.50000	-0.10000
 5.00000	0.10000
 10.00000	0.90000
 20.00000	2.30000
 30.00000	3.20000
 40.00000	3.70000
 50.00000	4.00000
 60.00000	3.80000
 70.00000	3.30000
 80.00000	2.50000
 90.00000	1.40000
 100.00000	0.00000
