Airfoil name : E216  (10,4%)

Upper  X 	 Upper Y 
 0.00000	0.23800
 0.46100	1.05800
 1.31100	1.98100
 2.57600	2.95100
 4.25400	3.93000
 6.33300	4.89100
 8.80300	5.80900
 11.64400	6.66500
 14.83600	7.43900
 18.35400	8.11900
 22.16900	8.69000
 26.24900	9.14400
 30.56000	9.47500
 35.06400	9.67800
 39.72200	9.75400
 44.49000	9.70400
 49.32300	9.53200
 54.17700	9.24300
 59.00400	8.84700
 63.75700	8.35300
 68.39000	7.77300
 72.85500	7.12000
 77.10700	6.40700
 81.10400	5.65100
 84.80500	4.86800
 88.17000	4.07900
 91.16200	3.30000
 93.74300	2.55200
 95.87700	1.84000
 97.56400	1.15700
 98.84200	0.55200
 99.69200	0.14100
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.23800
 0.10800	-0.38500
 0.76900	-0.86600
 1.97900	-1.29100
 3.70300	-1.63000
 5.92400	-1.86900
 8.62800	-1.99900
 11.79500	-2.02000
 15.40100	-1.93200
 19.42000	-1.74200
 23.81700	-1.46000
 28.55400	-1.09800
 33.58800	-0.67500
 38.86800	-0.21000
 44.34100	0.27600
 49.94500	0.75700
 55.61400	1.21100
 61.27900	1.61100
 66.86200	1.93700
 72.28700	2.16700
 77.47100	2.28400
 82.33100	2.27700
 86.78200	2.13700
 90.73700	1.86300
 94.10500	1.45600
 96.76300	0.94500
 98.60800	0.44900
 99.66100	0.11300
 100.00000	0.00000
