Airfoil name : EPPLER 59

Upper  X 	 Upper Y 
 0.00000	0.00000
 1.25000	1.60000
 2.50000	2.20000
 5.00000	3.20000
 7.50000	3.95000
 10.00000	4.60000
 15.00000	5.60000
 20.00000	6.30000
 25.00000	6.80000
 30.00000	7.20000
 40.00000	7.70000
 50.00000	7.60000
 60.00000	7.30000
 70.00000	6.50000
 80.00000	5.20000
 90.00000	3.20000
 95.00000	1.80000
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.00000
 1.25000	-0.60000
 2.50000	-0.70000
 5.00000	-0.60000
 7.50000	-0.40000
 10.00000	-0.20000
 15.00000	0.30000
 20.00000	0.80000
 25.00000	1.20000
 30.00000	1.60000
 40.00000	2.30000
 50.00000	2.80000
 60.00000	3.10000
 70.00000	3.00000
 80.00000	2.70000
 90.00000	1.90000
 95.00000	1.20000
 100.00000	0.00000
