Airfoil name : ESPADA

Upper  X 	 Upper Y 
 0.00000	0.00000
 0.10700	0.48000
 0.42800	0.99000
 0.96100	1.53000
 1.70400	2.10000
 2.65300	2.70000
 3.80600	3.31000
 5.15600	3.91000
 6.69900	4.50000
 8.42700	5.09000
 10.33200	5.58000
 12.40800	6.06700
 14.64500	6.51000
 17.03300	6.89400
 19.56200	7.22200
 22.22100	7.49600
 25.00000	7.71200
 27.88600	7.87000
 30.86600	7.98900
 33.92800	8.08300
 37.05900	8.13800
 40.24500	8.13700
 43.47400	8.06400
 46.73000	7.92300
 50.00000	7.72500
 53.27000	7.48300
 56.52600	7.21300
 59.75500	6.93400
 62.94100	6.65200
 66.07200	6.35100
 69.13400	6.00400
 72.11400	5.59600
 75.00000	5.14100
 77.77900	4.66800
 80.43800	4.20500
 82.96700	3.76400
 85.35500	3.34200
 87.59200	2.93200
 89.66800	2.53100
 91.57300	2.14200
 93.30100	1.77200
 94.84400	1.43200
 96.19400	1.11000
 97.34700	0.80500
 98.29600	0.53300
 99.03900	0.30700
 99.57200	0.13900
 99.89300	0.03500
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.00000
 0.10700	-0.50000
 0.42800	-0.75000
 0.96100	-0.87000
 1.70400	-0.91000
 2.65300	-0.93000
 3.80600	-0.85000
 5.15600	-0.66000
 6.69900	-0.37000
 8.42700	-0.05000
 10.33200	0.34100
 12.40800	0.68700
 14.64500	0.98700
 17.03300	1.32500
 19.56200	1.70400
 22.22100	2.07400
 25.00000	2.41300
 27.88600	2.73300
 30.86600	3.04700
 33.92800	3.35300
 37.05900	3.63100
 40.24500	3.85400
 43.47400	4.00300
 46.73000	4.08800
 50.00000	4.17200
 53.27000	4.13100
 56.52600	4.09800
 59.75500	4.01800
 62.94100	3.88700
 66.07200	3.72200
 69.13400	3.54700
 72.11400	3.37500
 75.00000	3.19700
 77.77900	2.98900
 80.43800	2.73200
 82.96700	2.42500
 85.35500	2.09000
 87.59200	1.74900
 89.66800	1.41900
 91.57300	1.11200
 93.30100	0.83400
 94.84400	0.58500
 96.19400	0.38400
 97.34700	0.23900
 98.29600	0.13800
 99.03900	0.07100
 99.57200	0.03000
 99.89300	0.00700
 100.00000	0.00000
