Airfoil name : Eiffel 430

Upper  X 	 Upper Y 
 0.00000	2.70000
 1.25000	5.09000
 2.50000	6.21000
 5.00000	7.57000
 7.50000	8.48000
 10.00000	9.10000
 15.00000	10.17000
 20.00000	10.60000
 30.00000	11.20000
 40.00000	11.00000
 50.00000	10.20000
 60.00000	8.60000
 70.00000	7.00000
 80.00000	5.10000
 90.00000	2.80000
 95.00000	1.69000
 100.00000	0.50000

 Lower X 	Lower Y
 0.00000	2.70000
 1.25000	0.90000
 2.50000	0.42000
 5.00000	0.14000
 7.50000	0.00000
 10.00000	0.10000
 15.00000	0.48000
 20.00000	1.20000
 30.00000	1.60000
 40.00000	1.60000
 50.00000	1.40000
 60.00000	1.10000
 70.00000	0.60000
 80.00000	0.30000
 90.00000	0.00000
 95.00000	0.14000
 100.00000	0.50000
