Airfoil name : Eppler E63

Upper  X 	 Upper Y 
 0.02810	-0.01050
 0.02900	0.00000
 0.03470	0.06500
 0.05140	0.14240
 0.07600	0.21800
 0.14130	0.35420
 0.22410	0.47310
 0.32020	0.57860
 0.42560	0.67490
 0.53600	0.76600
 0.70660	0.90120
 0.87960	1.03320
 1.05530	1.16150
 1.23400	1.28530
 1.41600	1.40400
 2.71400	2.08300
 4.43500	2.77500
 6.56800	3.45700
 9.10300	4.11100
 12.02300	4.72300
 15.30400	5.28000
 18.92000	5.77500
 22.84000	6.19800
 27.02600	6.54500
 31.44100	6.80900
 36.04300	6.99000
 40.78600	7.08400
 45.62400	7.09400
 50.50900	7.01600
 55.39400	6.85700
 60.22900	6.61700
 64.96700	6.30400
 69.56200	5.92100
 73.96800	5.48000
 78.14100	4.98500
 82.03900	4.45100
 85.62400	3.88500
 88.86100	3.30100
 91.71700	2.70900
 94.16400	2.12600
 96.17300	1.55300
 97.75100	0.98600
 98.93800	0.47300
 99.71900	0.12100
 100.00000	0.00000

 Lower X 	Lower Y
 0.02810	-0.01050
 0.03410	-0.08040
 0.05500	-0.14100
 0.11500	-0.20840
 0.20380	-0.25330
 0.31270	-0.28100
 0.43330	-0.29680
 0.55700	-0.30600
 0.79980	-0.31950
 1.02500	-0.32830
 1.23810	-0.33270
 1.44490	-0.33310
 1.65100	-0.33000
 3.31600	-0.22700
 5.55000	-0.00400
 8.34200	0.31500
 11.67100	0.70800
 15.50400	1.15100
 19.80000	1.62000
 24.50900	2.09300
 29.57400	2.54600
 34.93100	2.96200
 40.51300	3.31900
 46.24700	3.60500
 52.05600	3.80300
 57.85900	3.90700
 63.57600	3.90700
 69.12500	3.80600
 74.43000	3.60400
 79.41400	3.31000
 84.00400	2.93000
 88.13200	2.48200
 91.73500	1.97900
 94.75600	1.43900
 97.11500	0.88700
 98.75400	0.41000
 99.69500	0.10200
 100.00000	0.00000
