Airfoil name : FIN-MP

Upper  X 	 Upper Y 
 0.00000	1.60000
 2.50000	5.00000
 5.00000	6.40000
 10.00000	8.70000
 20.00000	11.10000
 30.00000	11.80000
 40.00000	11.70000
 50.00000	10.80000
 60.00000	9.40000
 70.00000	7.40000
 80.00000	5.20000
 90.00000	2.70000
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	1.60000
 2.50000	0.50000
 5.00000	0.40000
 10.00000	0.90000
 20.00000	2.60000
 30.00000	4.30000
 40.00000	5.30000
 50.00000	5.70000
 60.00000	5.50000
 70.00000	4.50000
 80.00000	3.20000
 90.00000	1.60000
 100.00000	0.00000
