Airfoil name : GM15 

Upper  X 	 Upper Y 
 0.00000	-0.01900
 0.09800	0.32200
 0.54800	0.85200
 1.33800	1.43300
 2.43300	2.05200
 3.81100	2.69800
 5.46800	3.35400
 7.39500	4.00300
 9.57600	4.62900
 11.99900	5.21000
 14.64800	5.73100
 17.50400	6.18200
 20.54900	6.56100
 23.76000	6.86600
 27.12000	7.09700
 30.60900	7.25500
 34.20400	7.33900
 37.88700	7.35200
 41.63800	7.29500
 45.43500	7.17200
 49.26500	6.98800
 53.09900	6.75100
 56.93700	6.46700
 60.77800	6.14000
 64.59400	5.77900
 68.35900	5.38600
 72.04300	4.96300
 75.61600	4.51100
 79.04800	4.03000
 82.30900	3.52400
 85.37000	3.00100
 88.20200	2.47400
 90.77500	1.96900
 93.06400	1.51600
 95.04400	1.14900
 96.69800	0.86500
 98.03700	0.61600
 99.07000	0.35600
 99.75400	0.11400
 100.00000	0.00600

 Lower X 	Lower Y
 0.00000	-0.01900
 0.09800	-0.31200
 0.54800	-0.63400
 1.33800	-0.86800
 2.43300	-1.03600
 3.81100	-1.15000
 5.46800	-1.21000
 7.39500	-1.20700
 9.57600	-1.13600
 11.99900	-0.99600
 14.64800	-0.78500
 17.50400	-0.51000
 20.54900	-0.17900
 23.76000	0.19100
 27.12000	0.58600
 30.60900	0.98800
 34.20400	1.37900
 37.88700	1.74100
 41.63800	2.06000
 45.43500	2.32400
 49.26500	2.52600
 53.09900	2.66100
 56.93700	2.73200
 60.77800	2.74000
 64.59400	2.69200
 68.35900	2.59400
 72.04300	2.45600
 75.61600	2.28700
 79.04800	2.08800
 82.30900	1.85800
 85.37000	1.59800
 88.20200	1.31700
 90.77500	1.03300
 93.06400	0.76500
 95.04400	0.52800
 96.69800	0.33200
 98.03700	0.17900
 99.07000	0.07500
 99.75400	0.01700
 100.00000	-0.00100
