Airfoil name : GOE 165 (MVA MK,11)

Upper  X 	 Upper Y 
 0.00000	0.00000
 1.19500	1.94400
 2.40800	3.24800
 4.86500	4.76800
 7.32100	6.28800
 9.79300	7.28800
 14.75000	8.81900
 19.72300	9.77000
 29.70800	10.29400
 39.71300	10.10800
 49.73000	9.52200
 59.76600	8.24700
 69.80700	6.78300
 79.85300	5.16800
 89.91100	3.13300
 94.94600	1.88600
 100.00000	0.06000

 Lower X 	Lower Y
 0.00000	0.00000
 1.26900	-0.66400
 2.53100	-1.08800
 5.04200	-1.48700
 7.55500	-1.93500
 10.06000	-2.09400
 15.06900	-2.41200
 20.06600	-2.33000
 30.04200	-1.46700
 39.99100	0.32600
 49.94300	1.99800
 59.92200	2.74200
 69.92400	2.67600
 79.93900	2.15000
 89.96400	1.27500
 94.98300	0.60800
 100.00000	-0.06000
