Airfoil name : GOE 311 (MVA H,43)

Upper  X 	 Upper Y 
 0.00000	0.00000
 1.23000	1.92300
 2.46800	2.99600
 4.95100	4.61200
 7.44000	5.69900
 9.92900	6.73500
 14.91300	8.16800
 19.90300	9.12100
 29.89300	10.12700
 39.89300	10.07300
 49.90400	9.06900
 59.91700	7.84500
 69.93500	6.15100
 79.95400	4.34800
 89.97600	2.23400
 94.98800	1.11700
 100.00000	0.21000

 Lower X 	Lower Y
 0.00000	0.00000
 1.25900	-0.83700
 2.51300	-1.19300
 5.01300	-1.21700
 7.51300	-1.19000
 10.01000	-0.92400
 15.00100	-0.05100
 19.99300	0.69200
 29.98100	1.80800
 39.97800	2.07400
 49.98300	1.65000
 59.98900	1.00600
 69.99600	0.37200
 80.00200	-0.15200
 90.00300	-0.28600
 95.00300	-0.26300
 100.00000	-0.21000
