Airfoil name : GOE 417

Upper  X 	 Upper Y 
 0.00000	0.00000
 1.25000	1.95800
 2.50000	2.96600
 5.00000	4.43200
 7.50000	5.64900
 10.00000	6.46500
 15.00000	7.59700
 20.00000	8.33000
 30.00000	8.84500
 40.00000	8.76000
 50.00000	8.22500
 60.00000	7.29000
 70.00000	6.05500
 80.00000	4.37000
 90.00000	2.33500
 95.00000	1.16800
 100.00000	0.00000

 Lower X 	Lower Y
 0.00000	0.00000
 1.25000	-0.59200
 2.50000	-0.38400
 5.00000	0.08300
 7.50000	0.49900
 10.00000	0.91500
 15.00000	1.64800
 20.00000	2.33000
 30.00000	3.19500
 40.00000	3.51000
 50.00000	3.32500
 60.00000	2.94000
 70.00000	2.30500
 80.00000	1.57000
 90.00000	0.73500
 95.00000	0.36800
 100.00000	0.00000
