Airfoil name : Gilroy

Upper  X 	 Upper Y 
 0.00000	2.00000
 1.25000	3.80000
 2.50000	5.00000
 5.00000	6.70000
 10.00000	8.70000
 20.00000	11.00000
 30.00000	11.80000
 40.00000	11.70000
 50.00000	10.90000
 60.00000	9.80000
 70.00000	8.40000
 80.00000	6.00000
 90.00000	3.50000
 100.00000	0.40000

 Lower X 	Lower Y
 0.00000	2.00000
 1.25000	0.50000
 2.50000	0.00000
 5.00000	0.00000
 10.00000	0.60000
 20.00000	2.40000
 30.00000	3.80000
 40.00000	4.50000
 50.00000	4.70000
 60.00000	4.60000
 70.00000	4.10000
 80.00000	3.00000
 90.00000	1.60000
 100.00000	0.00000
