AH 79-100 B - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-8.0	-0.0151	0.0151	-1.0000	-0.2025
-7.5	0.0429	0.0128	3.3516	-0.2050
-7.0	0.1013	0.0114	8.8860	-0.2064
-6.0	0.2179	0.0100	21.7900	-0.2079
-5.5	0.2762	0.0097	28.4742	-0.2083
-5.0	0.3350	0.0092	36.4130	-0.2091
-4.5	0.3941	0.0087	45.2989	-0.2098
-4.0	0.4528	0.0083	54.5542	-0.2104
-3.5	0.5113	0.0080	63.9125	-0.2109
-3.0	0.5717	0.0074	77.2568	-0.2120
-2.5	0.6308	0.0072	87.6111	-0.2126
-2.0	0.6901	0.0070	98.5857	-0.2133
-1.5	0.7486	0.0068	110.0882	-0.2138
-1.0	0.8073	0.0066	122.3182	-0.2145
-0.5	0.8683	0.0062	140.0484	-0.2160
0.5	0.9838	0.0061	161.2787	-0.2169
1.5	1.0962	0.0062	176.8065	-0.2169
2.0	1.1517	0.0063	182.8095	-0.2168
2.5	1.2065	0.0065	185.6154	-0.2165
3.0	1.2594	0.0066	190.8182	-0.2159
3.5	1.3057	0.0067	194.8806	-0.2137
4.0	1.3573	0.0071	191.1690	-0.2128
4.5	1.4082	0.0076	185.2895	-0.2119
5.0	1.4567	0.0082	177.6463	-0.2105
5.5	1.5033	0.0090	167.0333	-0.2087
6.0	1.5442	0.0101	152.8911	-0.2060
7.0	1.6026	0.0136	117.8382	-0.1965
7.5	1.6174	0.0156	103.6795	-0.1891
8.0	1.6432	0.0171	96.0936	-0.1838
8.5	1.6723	0.0184	90.8859	-0.1793
9.0	1.6914	0.0204	82.9118	-0.1735
9.5	1.7119	0.0225	76.0844	-0.1682
10.0	1.7345	0.0245	70.7959	-0.1637
10.5	1.7532	0.0270	64.9333	-0.1591
11.0	1.7713	0.0298	59.4396	-0.1548
11.5	1.7822	0.0334	53.3593	-0.1504
12.0	1.7908	0.0375	47.7547	-0.1463
12.5	1.8021	0.0415	43.4241	-0.1431
13.0	1.8103	0.0462	39.1840	-0.1401
