BE8358B - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-6.5	0.0681	0.0120	5.6750	-0.1438
-6.0	0.1288	0.0103	12.5049	-0.1449
-5.5	0.1889	0.0092	20.5326	-0.1455
-5.0	0.2485	0.0085	29.2353	-0.1457
-4.5	0.3071	0.0087	35.2989	-0.1454
-3.5	0.4238	0.0093	45.5699	-0.1449
-3.0	0.4820	0.0094	51.2766	-0.1449
-2.5	0.5401	0.0095	56.8526	-0.1449
-2.0	0.5981	0.0096	62.3021	-0.1449
-1.5	0.6571	0.0088	74.6705	-0.1454
-1.0	0.7153	0.0086	83.1744	-0.1456
-0.5	0.7734	0.0085	90.9882	-0.1458
0.0	0.8313	0.0085	97.8000	-0.1459
0.5	0.8889	0.0085	104.5765	-0.1461
1.5	1.0040	0.0086	116.7442	-0.1465
2.0	1.0612	0.0087	121.9770	-0.1466
2.5	1.1181	0.0088	127.0568	-0.1468
3.0	1.1748	0.0089	132.0000	-0.1470
3.5	1.2309	0.0092	133.7935	-0.1471
4.0	1.2866	0.0094	136.8723	-0.1471
4.5	1.3419	0.0097	138.3402	-0.1471
5.0	1.3935	0.0091	153.1319	-0.1468
5.5	1.4466	0.0096	150.6875	-0.1465
6.0	1.4987	0.0102	146.9314	-0.1461
7.0	1.5947	0.0122	130.7131	-0.1442
7.5	1.6060	0.0165	97.3333	-0.1381
8.0	1.6461	0.0177	93.0000	-0.1359
8.5	1.6843	0.0189	89.1164	-0.1334
9.0	1.7185	0.0201	85.4975	-0.1304
9.5	1.7379	0.0219	79.3562	-0.1252
10.0	1.7582	0.0238	73.8739	-0.1209
10.5	1.7704	0.0267	66.3071	-0.1168
11.0	1.7786	0.0305	58.3148	-0.1135
11.5	1.7870	0.0348	51.3506	-0.1114
12.0	1.7892	0.0401	44.6185	-0.1098
12.5	1.7781	0.0472	37.6716	-0.1085
13.0	1.7454	0.0574	30.4077	-0.1078
