BE8456D - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-8.0	-0.1456	0.0156	-9.3333	-0.1480
-7.5	-0.0877	0.0147	-5.9660	-0.1483
-7.0	-0.0284	0.0117	-2.4274	-0.1504
-6.5	0.0297	0.0108	2.7500	-0.1507
-6.0	0.0896	0.0101	8.8713	-0.1512
-5.5	0.1497	0.0095	15.7579	-0.1517
-5.0	0.2097	0.0089	23.5618	-0.1521
-4.5	0.2688	0.0087	30.8966	-0.1524
-4.0	0.3285	0.0084	39.1071	-0.1528
-2.5	0.5065	0.0078	64.9359	-0.1536
-2.0	0.5655	0.0077	73.4416	-0.1538
-1.5	0.6239	0.0077	81.0260	-0.1539
-1.0	0.6819	0.0078	87.4231	-0.1539
-0.5	0.7401	0.0078	94.8846	-0.1540
0.0	0.7981	0.0078	102.3205	-0.1541
0.5	0.8562	0.0079	108.3797	-0.1542
1.0	0.9138	0.0079	115.6709	-0.1543
1.5	0.9683	0.0085	113.9176	-0.1542
2.0	1.0244	0.0088	116.4091	-0.1545
2.5	1.0780	0.0094	114.6809	-0.1544
3.5	1.1804	0.0104	113.5000	-0.1526
4.0	1.2348	0.0108	114.3333	-0.1522
4.5	1.2892	0.0112	115.1071	-0.1518
5.0	1.3421	0.0118	113.7373	-0.1512
5.5	1.3962	0.0121	115.3884	-0.1508
6.0	1.4391	0.0139	103.5324	-0.1488
6.5	1.4869	0.0149	99.7919	-0.1474
7.0	1.5329	0.0160	95.8063	-0.1456
7.5	1.5793	0.0170	92.9000	-0.1440
8.0	1.6204	0.0184	88.0652	-0.1416
8.5	1.6623	0.0195	85.2462	-0.1393
9.0	1.6990	0.0209	81.2919	-0.1363
9.5	1.7243	0.0230	74.9696	-0.1315
10.0	1.7432	0.0247	70.5749	-0.1257
10.5	1.7567	0.0270	65.0630	-0.1200
11.0	1.7686	0.0298	59.3490	-0.1150
11.5	1.7737	0.0336	52.7887	-0.1106
12.0	1.7560	0.0404	43.4653	-0.1068
12.5	1.7576	0.0460	38.2087	-0.1054
13.0	1.7506	0.0530	33.0302	-0.1045
