E216 (10,4%) - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-8.0	-0.1977	0.0176	-11.2330	-0.1716
-7.5	-0.1240	0.0147	-8.4354	-0.1776
-7.0	-0.0648	0.0126	-5.1429	-0.1794
-6.5	0.0072	0.0105	0.6857	-0.1840
-6.0	0.0799	0.0094	8.5000	-0.1879
-5.5	0.1451	0.0085	17.0706	-0.1899
-5.0	0.2185	0.0075	29.1333	-0.1938
-4.5	0.2898	0.0069	42.0000	-0.1970
-4.0	0.3724	0.0063	59.1111	-0.2030
-3.0	0.5097	0.0055	92.6727	-0.2086
-2.5	0.5736	0.0053	108.2264	-0.2103
-1.5	0.6883	0.0052	132.3654	-0.2106
-1.0	0.7425	0.0053	140.0943	-0.2100
-0.5	0.7955	0.0054	147.3148	-0.2091
0.0	0.8475	0.0056	151.3393	-0.2081
0.5	0.8994	0.0058	155.0690	-0.2070
1.5	1.0024	0.0063	159.1111	-0.2048
2.0	1.0541	0.0066	159.7121	-0.2037
2.5	1.1051	0.0070	157.8714	-0.2025
3.5	1.2058	0.0079	152.6329	-0.2000
4.0	1.2534	0.0085	147.4588	-0.1982
5.0	1.3328	0.0099	134.6263	-0.1912
5.5	1.3765	0.0109	126.2844	-0.1889
6.0	1.4171	0.0121	117.1157	-0.1859
6.5	1.4533	0.0135	107.6519	-0.1822
7.0	1.4810	0.0154	96.1688	-0.1769
7.5	1.5165	0.0167	90.8084	-0.1729
8.0	1.5530	0.0178	87.2472	-0.1692
8.5	1.5885	0.0190	83.6053	-0.1653
9.0	1.6214	0.0204	79.4804	-0.1612
9.5	1.6510	0.0220	75.0455	-0.1567
10.0	1.6741	0.0241	69.4647	-0.1514
10.5	1.6845	0.0273	61.7033	-0.1446
11.0	1.7077	0.0295	57.8881	-0.1402
11.5	1.7232	0.0324	53.1852	-0.1351
12.0	1.7312	0.0362	47.8232	-0.1299
12.5	1.7363	0.0405	42.8716	-0.1253
13.0	1.7378	0.0456	38.1096	-0.1213

