ESPADA - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-4.0	0.2643	0.0137	19.2920	-0.1603
-3.5	0.3176	0.0106	29.9623	-0.1606
-3.0	0.3714	0.0090	41.2667	-0.1599
-2.5	0.4259	0.0083	51.3133	-0.1590
-2.0	0.4788	0.0072	66.5000	-0.1579
-1.5	0.5324	0.0068	78.2941	-0.1568
-1.0	0.5847	0.0064	91.3594	-0.1554
-0.5	0.6302	0.0066	95.4848	-0.1526
0.0	0.6814	0.0066	103.2424	-0.1511
0.5	0.7345	0.0068	108.0147	-0.1501
1.0	0.7880	0.0069	114.2029	-0.1492
1.5	0.8414	0.0070	120.2000	-0.1482
2.0	0.8945	0.0071	125.9859	-0.1472
2.5	0.9464	0.0071	133.2958	-0.1461
3.5	1.0518	0.0072	146.0833	-0.1451
4.0	1.1026	0.0077	143.1948	-0.1437
4.5	1.1537	0.0081	142.4321	-0.1425
5.0	1.2041	0.0085	141.6588	-0.1411
5.5	1.2522	0.0092	136.1087	-0.1393
6.0	1.2990	0.0099	131.2121	-0.1373
6.5	1.3442	0.0108	124.4630	-0.1351
7.0	1.3908	0.0115	120.9391	-0.1331
7.5	1.4331	0.0126	113.7381	-0.1305
8.0	1.4740	0.0138	106.8116	-0.1276
8.5	1.5158	0.0148	102.4189	-0.1248
9.0	1.5570	0.0158	98.5443	-0.1219
9.5	1.5968	0.0169	94.4852	-0.1188
10.0	1.6326	0.0182	89.7033	-0.1151
10.5	1.6666	0.0193	86.3523	-0.1111
11.0	1.6898	0.0209	80.8517	-0.1053
11.5	1.7114	0.0225	76.0622	-0.0996
12.0	1.7316	0.0242	71.5537	-0.0941
12.5	1.7464	0.0265	65.9019	-0.0884
13.0	1.7558	0.0293	59.9249	-0.0830
