GOE 626 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-8.0	-0.2542	0.0107	-23.7570	-0.1543
-7.5	-0.2003	0.0101	-19.8317	-0.1537
-7.0	-0.1454	0.0096	-15.1458	-0.1531
-6.5	-0.0910	0.0090	-10.1111	-0.1523
-6.0	-0.0390	0.0082	-4.7561	-0.1515
-5.5	0.0114	0.0076	1.5000	-0.1502
-4.5	0.1131	0.0074	15.2838	-0.1471
-4.0	0.1693	0.0074	22.8784	-0.1464
-3.5	0.2262	0.0075	30.1600	-0.1459
-3.0	0.2833	0.0076	37.2763	-0.1453
-2.5	0.3403	0.0076	44.7763	-0.1448
-2.0	0.3971	0.0077	51.5714	-0.1442
-1.5	0.4533	0.0079	57.3797	-0.1435
-1.0	0.5087	0.0080	63.5875	-0.1428
-0.5	0.5643	0.0081	69.6667	-0.1420
0.5	0.6736	0.0085	79.2471	-0.1402
1.0	0.7279	0.0086	84.6395	-0.1394
1.5	0.7821	0.0087	89.8966	-0.1384
2.0	0.8359	0.0089	93.9213	-0.1374
2.5	0.8892	0.0091	97.7143	-0.1363
3.0	0.9424	0.0093	101.3333	-0.1352
3.5	0.9949	0.0095	104.7263	-0.1341
4.0	1.0469	0.0097	107.9278	-0.1328
4.5	1.0980	0.0100	109.8000	-0.1313
5.0	1.1475	0.0103	111.4078	-0.1296
5.5	1.1953	0.0106	112.7642	-0.1276
6.0	1.2386	0.0110	112.6000	-0.1248
6.5	1.2773	0.0116	110.1121	-0.1212
7.0	1.3031	0.0128	101.8047	-0.1156
7.5	1.3372	0.0137	97.6058	-0.1115
8.0	1.3745	0.0143	96.1189	-0.1080
8.5	1.4118	0.0150	94.1200	-0.1045
9.0	1.4483	0.0157	92.2484	-0.1012
9.5	1.4807	0.0166	89.1988	-0.0973
10.0	1.4816	0.0190	77.9789	-0.0896
