2032cjc - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-3.5	0.3097	0.0111	27.9009	-0.1304
-3.0	0.3720	0.0091	40.8791	-0.1316
-2.5	0.4313	0.0086	50.1512	-0.1319
-2.0	0.4902	0.0084	58.3571	-0.1320
-1.5	0.5471	0.0089	61.4719	-0.1317
-1.0	0.6040	0.0093	64.9462	-0.1315
-0.5	0.6619	0.0091	72.7363	-0.1318
0.0	0.7196	0.0091	79.0769	-0.1319
0.5	0.7779	0.0088	88.3977	-0.1322
1.0	0.8355	0.0088	94.9432	-0.1324
1.5	0.8927	0.0090	99.1889	-0.1325
2.0	0.9499	0.0090	105.5444	-0.1326
2.5	1.0074	0.0090	111.9333	-0.1330
3.0	1.0604	0.0081	130.9136	-0.1327
3.5	1.1165	0.0084	132.9167	-0.1327
4.0	1.1725	0.0086	136.3372	-0.1326
4.5	1.2281	0.0090	136.4556	-0.1325
5.0	1.2829	0.0094	136.4787	-0.1324
6.0	1.3673	0.0136	100.5368	-0.1288
6.5	1.4180	0.0144	98.4722	-0.1280
7.0	1.4659	0.0154	95.1883	-0.1267
7.5	1.5124	0.0165	91.6606	-0.1252
8.0	1.5550	0.0180	86.3889	-0.1232
8.5	1.5931	0.0196	81.2806	-0.1206
9.0	1.6216	0.0218	74.3853	-0.1168
9.5	1.6333	0.0245	66.6653	-0.1106
10.0	1.6279	0.0281	57.9324	-0.1032
10.5	1.6167	0.0333	48.5495	-0.0985
11.0	1.6051	0.0401	40.0274	-0.0964
11.5	1.5932	0.0477	33.4004	-0.0957
