ANDRUKOV - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-4.0	0.2897	0.0099	29.2626	-0.1538
-3.5	0.3531	0.0082	43.0610	-0.1550
-3.0	0.4118	0.0078	52.7949	-0.1551
-2.5	0.4681	0.0079	59.2532	-0.1549
-2.0	0.5267	0.0078	67.5256	-0.1551
-1.5	0.5853	0.0077	76.0130	-0.1554
-0.5	0.6981	0.0084	83.1071	-0.1549
0.5	0.8129	0.0085	95.6353	-0.1552
1.0	0.8695	0.0087	99.9425	-0.1552
1.5	0.9257	0.0090	102.8556	-0.1551
2.0	0.9815	0.0093	105.5376	-0.1550
2.5	1.0341	0.0101	102.3861	-0.1546
3.0	1.0892	0.0105	103.7333	-0.1543
3.5	1.1445	0.0108	105.9722	-0.1541
4.0	1.2000	0.0110	109.0909	-0.1540
4.5	1.2563	0.0111	113.1802	-0.1542
5.0	1.3089	0.0106	123.4811	-0.1538
5.5	1.3630	0.0110	123.9091	-0.1534
6.0	1.4160	0.0115	123.1304	-0.1528
6.5	1.4676	0.0122	120.2951	-0.1521
7.0	1.5088	0.0142	106.2535	-0.1497
7.5	1.5519	0.0159	97.6038	-0.1474
8.0	1.5975	0.0170	93.9706	-0.1455
8.5	1.6410	0.0183	89.6721	-0.1433
9.0	1.6799	0.0199	84.4171	-0.1403
9.5	1.7130	0.0219	78.2192	-0.1364
10.0	1.7420	0.0238	73.1933	-0.1320
10.5	1.7613	0.0260	67.7423	-0.1260
11.0	1.7644	0.0286	61.6923	-0.1178
11.5	1.7436	0.0336	51.8929	-0.1083
12.0	1.7300	0.0391	44.2455	-0.1022
12.5	1.7248	0.0448	38.5000	-0.0988
13.0	1.7098	0.0526	32.5057	-0.0974
