BE6606 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
3.5	1.1517	0.0109	105.6606	-0.1869
4.0	1.1914	0.0118	100.9661	-0.1837
4.5	1.2350	0.0124	99.5968	-0.1814
5.0	1.2782	0.0131	97.5725	-0.1789
5.5	1.3151	0.0144	91.3264	-0.1753
6.0	1.3543	0.0155	87.3742	-0.1719
6.5	1.3951	0.0165	84.5515	-0.1690
7.0	1.4313	0.0179	79.9609	-0.1652
7.5	1.4692	0.0191	76.9215	-0.1618
8.0	1.5044	0.0206	73.0291	-0.1579
8.5	1.5262	0.0235	64.9447	-0.1516
9.0	1.5580	0.0253	61.5810	-0.1473
9.5	1.5867	0.0274	57.9088	-0.1426
10.0	1.6091	0.0302	53.2815	-0.1370
10.5	1.6262	0.0333	48.8348	-0.1309
11.0	1.6369	0.0368	44.4810	-0.1242
11.5	1.6344	0.0415	39.3831	-0.1161
12.0	1.6149	0.0479	33.7140	-0.1070
12.5	1.5795	0.0561	28.1551	-0.0979
13.0	1.5355	0.0660	23.2652	-0.0911
