D6 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-3.0	0.3445	0.0137	25.1460	-0.1166
-2.5	0.4001	0.0145	27.5931	-0.1165
-2.0	0.4623	0.0115	40.2000	-0.1176
-1.5	0.5218	0.0096	54.3542	-0.1183
-1.0	0.5790	0.0095	60.9474	-0.1184
-0.5	0.6365	0.0090	70.7222	-0.1185
0.0	0.6941	0.0087	79.7816	-0.1187
0.5	0.7515	0.0086	87.3837	-0.1188
1.0	0.8095	0.0083	97.5301	-0.1191
1.5	0.8669	0.0083	104.4458	-0.1192
2.0	0.9241	0.0084	110.0119	-0.1194
2.5	0.9813	0.0084	116.8214	-0.1195
3.0	1.0383	0.0085	122.1529	-0.1197
3.5	1.0920	0.0073	149.5890	-0.1197
4.0	1.1482	0.0076	151.0789	-0.1198
4.5	1.2041	0.0078	154.3718	-0.1198
5.0	1.2595	0.0082	153.5976	-0.1197
5.5	1.3140	0.0086	152.7907	-0.1196
6.0	1.3667	0.0092	148.5543	-0.1192
6.5	1.4188	0.0099	143.3131	-0.1188
7.0	1.4696	0.0107	137.3458	-0.1182
7.5	1.5183	0.0116	130.8879	-0.1174
8.0	1.5422	0.0152	101.4605	-0.1133
8.5	1.5820	0.0167	94.7305	-0.1111
9.0	1.6230	0.0180	90.1667	-0.1091
9.5	1.6606	0.0194	85.5979	-0.1066
10.0	1.6936	0.0209	81.0335	-0.1035
10.5	1.7163	0.0226	75.9425	-0.0990
11.0	1.7224	0.0255	67.5451	-0.0933
11.5	1.7350	0.0285	60.8772	-0.0897
12.0	1.7417	0.0326	53.4264	-0.0871
12.5	1.7431	0.0380	45.8711	-0.0857
13.0	1.7359	0.0446	38.9215	-0.0849

