E63 (4,25%) - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-1.0	0.6664	0.0062	107.4839	-0.1932
0.0	0.8093	0.0045	179.8444	-0.2002
0.5	0.8976	0.0034	264.0000	-0.2077
1.0	0.9573	0.0038	251.9211	-0.2081
1.5	1.0005	0.0046	217.5000	-0.2049
2.0	1.0439	0.0054	193.3148	-0.2020
2.5	1.0864	0.0067	162.1493	-0.1991
3.0	1.1317	0.0079	143.2532	-0.1971
3.5	1.1797	0.0089	132.5506	-0.1955
4.0	1.2269	0.0100	122.6900	-0.1938
4.5	1.2746	0.0111	114.8288	-0.1922
5.0	1.3213	0.0124	106.5565	-0.1902
5.5	1.3710	0.0131	104.6565	-0.1887
6.0	1.4197	0.0140	101.4071	-0.1871
6.5	1.4646	0.0155	94.4903	-0.1845
7.0	1.5068	0.0176	85.6136	-0.1813
7.5	1.5413	0.0211	73.0474	-0.1763
8.0	1.5691	0.0270	58.1148	-0.1700

