EPPLER 59 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-6.0	0.0753	0.0121	6.2231	-0.1868
-5.5	0.1480	0.0100	14.8000	-0.1912
-5.0	0.2180	0.0084	25.9524	-0.1946
-4.5	0.2861	0.0076	37.6447	-0.1973
-4.0	0.3388	0.0071	47.7183	-0.1964
-3.5	0.4021	0.0069	58.2754	-0.1978
-3.0	0.4679	0.0065	71.9846	-0.1999
-2.5	0.5240	0.0062	84.5161	-0.1997
-2.0	0.5887	0.0058	101.5000	-0.2014
-1.5	0.6455	0.0055	117.3636	-0.2013
-1.0	0.7063	0.0051	138.4902	-0.2023
-0.5	0.7631	0.0048	158.9792	-0.2023
0.0	0.8201	0.0045	182.2444	-0.2025
0.5	0.8648	0.0048	180.1667	-0.1998
1.0	0.8943	0.0055	162.6000	-0.1938
1.5	0.9370	0.0063	148.7302	-0.1909
2.0	0.9771	0.0078	125.2692	-0.1879
2.5	1.0237	0.0089	115.0225	-0.1861
3.0	1.0680	0.0103	103.6893	-0.1839
3.5	1.1201	0.0108	103.7130	-0.1829
4.0	1.1714	0.0114	102.7544	-0.1818
4.5	1.2216	0.0120	101.8000	-0.1805
5.0	1.2712	0.0127	100.0945	-0.1791
5.5	1.3225	0.0132	100.1894	-0.1781
6.0	1.3722	0.0137	100.1606	-0.1768
6.5	1.4217	0.0143	99.4196	-0.1754
7.0	1.4665	0.0155	94.6129	-0.1730
7.5	1.5100	0.0168	89.8810	-0.1704
8.0	1.5502	0.0185	83.7946	-0.1671
8.5	1.5894	0.0201	79.0746	-0.1638
9.0	1.6238	0.0222	73.1441	-0.1597
9.5	1.6448	0.0256	64.2500	-0.1532
10.0	1.6674	0.0284	58.7113	-0.1472
10.5	1.6824	0.0320	52.5750	-0.1404
11.0	1.6941	0.0355	47.7211	-0.1337
11.5	1.6931	0.0404	41.9084	-0.1261
12.0	1.6797	0.0467	35.9679	-0.1184
12.5	1.6585	0.0541	30.6562	-0.1121
13.0	1.6183	0.0649	24.9353	-0.1079
