Eiffel 430 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-8.0	-0.3337	0.0129	-25.8682	-0.0854
-7.5	-0.2821	0.0124	-22.7500	-0.0836
-6.5	-0.1799	0.0108	-16.6574	-0.0802
-6.0	-0.1267	0.0104	-12.1827	-0.0788
-5.5	-0.0725	0.0100	-7.2500	-0.0776
-5.0	-0.0192	0.0095	-2.0211	-0.0762
-4.5	0.0349	0.0092	3.7935	-0.0751
-4.0	0.0897	0.0090	9.9667	-0.0741
-3.5	0.1438	0.0086	16.7209	-0.0730
-3.0	0.1982	0.0084	23.5952	-0.0720
-2.5	0.2528	0.0081	31.2099	-0.0710
-2.0	0.3074	0.0080	38.4250	-0.0701
-1.5	0.3605	0.0078	46.2179	-0.0689
-0.5	0.4432	0.0090	49.2444	-0.0626
0.5	0.5451	0.0094	57.9894	-0.0599
1.0	0.5978	0.0096	62.2708	-0.0589
1.5	0.6504	0.0098	66.3673	-0.0578
2.0	0.7030	0.0099	71.0101	-0.0569
2.5	0.7546	0.0101	74.7129	-0.0558
3.0	0.8056	0.0103	78.2136	-0.0546
3.5	0.8564	0.0104	82.3462	-0.0534
4.0	0.9070	0.0106	85.5660	-0.0522
5.0	0.9915	0.0117	84.7436	-0.0470
5.5	1.0361	0.0121	85.6281	-0.0448
6.0	1.0796	0.0125	86.3680	-0.0425
6.5	1.1187	0.0129	86.7209	-0.0393
