Eppler E63 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-0.5	0.7311	0.0054	135.3889	-0.1947
0.0	0.8091	0.0044	183.8864	-0.2002
0.5	0.8971	0.0034	263.8529	-0.2075
1.0	0.9573	0.0038	251.9211	-0.2081
2.0	1.0426	0.0055	189.5636	-0.2017
2.5	1.0825	0.0071	152.4648	-0.1985
3.0	1.1285	0.0084	134.3452	-0.1966
3.5	1.1752	0.0096	122.4167	-0.1948
4.0	1.2192	0.0112	108.8571	-0.1925
4.5	1.2698	0.0120	105.8167	-0.1912
5.0	1.3197	0.0128	103.1016	-0.1896
5.5	1.3646	0.0146	93.4658	-0.1869
6.0	1.4097	0.0161	87.5590	-0.1843
6.5	1.4533	0.0179	81.1899	-0.1815
7.0	1.4995	0.0192	78.0990	-0.1795
7.5	1.5370	0.0221	69.5475	-0.1759
8.0	1.5834	0.0230	68.8435	-0.1740
8.5	1.6244	0.0246	66.0325	-0.1714
9.0	1.6640	0.0267	62.3221	-0.1682
9.5	1.6990	0.0291	58.3849	-0.1645
10.0	1.6661	0.0417	39.9544	-0.1499
10.5	1.6076	0.0527	30.5047	-0.1343
11.0	1.5727	0.0612	25.6977	-0.1263
