FIN-MP - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-8.0	-0.0116	0.0123	-0.9431	-0.1685
-7.5	0.0461	0.0110	4.1909	-0.1689
-7.0	0.1040	0.0098	10.6122	-0.1692
-6.5	0.1620	0.0089	18.2022	-0.1692
-6.0	0.2199	0.0083	26.4940	-0.1690
-5.5	0.2775	0.0078	35.5769	-0.1687
-5.0	0.3351	0.0075	44.6800	-0.1685
-4.5	0.3926	0.0074	53.0541	-0.1681
-4.0	0.4500	0.0073	61.6438	-0.1677
-3.5	0.5072	0.0072	70.4444	-0.1673
-3.0	0.5643	0.0071	79.4789	-0.1670
-2.5	0.6210	0.0070	88.7143	-0.1666
-2.0	0.6771	0.0070	96.7286	-0.1662
-1.5	0.7327	0.0070	104.6714	-0.1657
-1.0	0.7884	0.0071	111.0423	-0.1653
-0.5	0.8441	0.0072	117.2361	-0.1649
0.0	0.8995	0.0073	123.2192	-0.1645
0.5	0.9548	0.0074	129.0270	-0.1641
1.0	1.0098	0.0076	132.8684	-0.1637
1.5	1.0645	0.0078	136.4744	-0.1633
2.0	1.1177	0.0082	136.3049	-0.1626
2.5	1.1681	0.0088	132.7386	-0.1616
3.0	1.2193	0.0093	131.1075	-0.1607
3.5	1.2711	0.0097	131.0412	-0.1600
4.5	1.3735	0.0097	141.5979	-0.1585
5.0	1.4242	0.0102	139.6275	-0.1576
5.5	1.4738	0.0107	137.7383	-0.1566
6.0	1.5183	0.0117	129.7692	-0.1548
6.5	1.5401	0.0144	106.9514	-0.1495
7.0	1.5837	0.0152	104.1908	-0.1475
7.5	1.6239	0.0161	100.8634	-0.1450
8.0	1.6647	0.0168	99.0893	-0.1426
8.5	1.6956	0.0177	95.7966	-0.1385
9.0	1.7264	0.0187	92.3209	-0.1347
9.5	1.7409	0.0208	83.6971	-0.1290
10.0	1.7582	0.0228	77.1140	-0.1242
10.5	1.7737	0.0253	70.1067	-0.1198
11.0	1.7869	0.0281	63.5907	-0.1159
11.5	1.7983	0.0315	57.0889	-0.1125
12.0	1.8065	0.0354	51.0311	-0.1097
12.5	1.8060	0.0406	44.4828	-0.1072
13.0	1.8095	0.0457	39.5952	-0.1054
