GM15 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-6.0	-0.0767	0.0167	-4.5928	-0.1404
-5.5	-0.0098	0.0112	-0.8750	-0.1452
-5.0	0.0507	0.0096	5.2813	-0.1462
-4.5	0.1070	0.0079	13.5443	-0.1463
-4.0	0.1627	0.0073	22.2877	-0.1459
-3.5	0.2173	0.0067	32.4328	-0.1451
-3.0	0.2715	0.0063	43.0952	-0.1442
-2.5	0.3258	0.0059	55.2203	-0.1433
-2.0	0.3788	0.0054	70.1481	-0.1424
-1.5	0.4314	0.0052	82.9615	-0.1412
-1.0	0.4823	0.0052	92.7500	-0.1397
-0.5	0.5320	0.0054	98.5185	-0.1379
0.0	0.5821	0.0056	103.9464	-0.1362
0.5	0.6336	0.0058	109.2414	-0.1349
1.0	0.6858	0.0059	116.2373	-0.1338
1.5	0.7381	0.0061	121.0000	-0.1328
2.0	0.7904	0.0062	127.4839	-0.1317
2.5	0.8422	0.0063	133.6825	-0.1306
3.0	0.8995	0.0058	155.0862	-0.1310
3.5	0.9506	0.0062	153.3226	-0.1297
4.0	0.9968	0.0071	140.3944	-0.1277
4.5	1.0452	0.0078	134.0000	-0.1260
5.0	1.0907	0.0088	123.9432	-0.1239
5.5	1.1284	0.0108	104.4815	-0.1206
6.0	1.1760	0.0116	101.3793	-0.1188
6.5	1.2240	0.0124	98.7097	-0.1170
7.0	1.2697	0.0135	94.0519	-0.1147
7.5	1.3161	0.0143	92.0350	-0.1128
8.0	1.3553	0.0159	85.2390	-0.1095
8.5	1.3964	0.0172	81.1860	-0.1066
9.0	1.4356	0.0185	77.6000	-0.1036
9.5	1.4606	0.0210	69.5524	-0.0983
10.0	1.4895	0.0229	65.0437	-0.0937
10.5	1.5053	0.0253	59.4980	-0.0871
11.0	1.5155	0.0281	53.9324	-0.0802
11.5	1.5223	0.0312	48.7917	-0.0741
12.0	1.5236	0.0351	43.4074	-0.0684
12.5	1.5189	0.0398	38.1633	-0.0638
13.0	1.4932	0.0477	31.3040	-0.0603
