GOE 165 (MVA MK,11) - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-5.5	0.1103	0.0128	8.6172	-0.1641
-5.0	0.1675	0.0108	15.5093	-0.1648
-4.5	0.2255	0.0099	22.7778	-0.1652
-4.0	0.2841	0.0093	30.5484	-0.1656
-3.5	0.3432	0.0086	39.9070	-0.1661
-3.0	0.4015	0.0082	48.9634	-0.1663
-2.5	0.4595	0.0079	58.1646	-0.1663
-2.0	0.5165	0.0079	65.3797	-0.1662
-1.5	0.5656	0.0085	66.5412	-0.1649
-1.0	0.6212	0.0082	75.7561	-0.1651
-0.5	0.6771	0.0083	81.5783	-0.1649
0.0	0.7328	0.0085	86.2118	-0.1646
0.5	0.7885	0.0088	89.6023	-0.1642
1.0	0.8442	0.0090	93.8000	-0.1639
1.5	0.8994	0.0092	97.7609	-0.1635
2.0	0.9545	0.0095	100.4737	-0.1631
2.5	1.0086	0.0098	102.9184	-0.1625
3.0	1.0593	0.0104	101.8558	-0.1614
3.5	1.1002	0.0119	92.4538	-0.1586
4.0	1.1484	0.0128	89.7188	-0.1570
4.5	1.2003	0.0132	90.9318	-0.1560
5.0	1.2512	0.0137	91.3285	-0.1549
5.5	1.3020	0.0141	92.3404	-0.1538
6.0	1.3475	0.0150	89.8333	-0.1517
6.5	1.3940	0.0158	88.2278	-0.1497
7.0	1.4359	0.0169	84.9645	-0.1469
7.5	1.4781	0.0178	83.0393	-0.1443
8.0	1.5163	0.0189	80.2275	-0.1410
8.5	1.5376	0.0207	74.2802	-0.1347
9.0	1.5591	0.0224	69.6027	-0.1287
10.0	1.5805	0.0271	58.3210	-0.1152
10.5	1.5852	0.0303	52.3168	-0.1092
11.0	1.5829	0.0346	45.7486	-0.1041
11.5	1.5636	0.0415	37.6771	-0.1002
12.0	1.5360	0.0504	30.4762	-0.0983
12.5	1.5108	0.0592	25.5203	-0.0962
13.0	1.5026	0.0663	22.6637	-0.0951
