GOE 311 (MVA H,43) - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-7.5	-0.3369	0.0334	-10.0868	-0.0788
-7.0	-0.2934	0.0192	-15.2812	-0.0864
-6.5	-0.2404	0.0147	-16.3537	-0.0875
-6.0	-0.1844	0.0128	-14.4063	-0.0877
-5.5	-0.1273	0.0116	-10.9741	-0.0877
-5.0	-0.0701	0.0103	-6.8058	-0.0878
-4.5	-0.0128	0.0099	-1.2929	-0.0878
-4.0	0.0448	0.0092	4.8696	-0.0878
-3.5	0.1032	0.0091	11.3407	-0.0879
-3.0	0.1619	0.0094	17.2234	-0.0881
-2.5	0.2200	0.0092	23.9130	-0.0883
-2.0	0.2779	0.0089	31.2247	-0.0885
-1.5	0.3359	0.0087	38.6092	-0.0886
-1.0	0.3939	0.0085	46.3412	-0.0888
-0.5	0.4519	0.0084	53.7976	-0.0890
0.0	0.5098	0.0083	61.4217	-0.0892
0.5	0.5676	0.0082	69.2195	-0.0894
1.0	0.6256	0.0081	77.2346	-0.0897
1.5	0.6831	0.0080	85.3875	-0.0900
2.0	0.7411	0.0080	92.6375	-0.0903
2.5	0.7989	0.0081	98.6296	-0.0906
3.0	0.8564	0.0081	105.7284	-0.0910
3.5	0.9139	0.0082	111.4512	-0.0913
4.0	0.9712	0.0083	117.0120	-0.0916
4.5	1.0280	0.0084	122.3810	-0.0919
5.0	1.0736	0.0073	147.0685	-0.0901
5.5	1.1300	0.0082	137.8049	-0.0909
6.0	1.1781	0.0094	125.3298	-0.0901
6.5	1.2246	0.0107	114.4486	-0.0890
7.0	1.2659	0.0123	102.9187	-0.0871
7.5	1.3051	0.0139	93.8921	-0.0848
8.0	1.3492	0.0150	89.9467	-0.0831
8.5	1.3908	0.0161	86.3851	-0.0811
9.0	1.4297	0.0172	83.1221	-0.0786
9.5	1.4608	0.0186	78.5376	-0.0750
10.0	1.4797	0.0204	72.5343	-0.0699
10.5	1.5006	0.0225	66.6933	-0.0658
11.0	1.5178	0.0250	60.7120	-0.0622
11.5	1.5217	0.0291	52.2921	-0.0586
12.0	1.5142	0.0349	43.3868	-0.0559
12.5	1.5178	0.0401	37.8504	-0.0546
13.0	1.5142	0.0462	32.7749	-0.0536
