GOE 358 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-8.0	-0.2382	0.0096	-24.8125	-0.1625
-7.5	-0.1818	0.0093	-19.5484	-0.1618
-7.0	-0.1254	0.0092	-13.6304	-0.1609
-6.5	-0.0681	0.0088	-7.7386	-0.1607
-6.0	-0.0111	0.0086	-1.2907	-0.1601
-5.5	0.0467	0.0083	5.6265	-0.1599
-5.0	0.1046	0.0079	13.2405	-0.1598
-4.5	0.1620	0.0078	20.7692	-0.1595
-4.0	0.2197	0.0077	28.5325	-0.1594
-3.5	0.2782	0.0075	37.0933	-0.1595
-3.0	0.3369	0.0073	46.1507	-0.1596
-2.5	0.3954	0.0073	54.1644	-0.1596
-2.0	0.4539	0.0072	63.0417	-0.1596
-1.5	0.5125	0.0071	72.1831	-0.1597
-1.0	0.5711	0.0066	86.5303	-0.1603
-0.5	0.6274	0.0068	92.2647	-0.1600
0.0	0.6836	0.0071	96.2817	-0.1596
0.5	0.7398	0.0074	99.9730	-0.1592
1.0	0.7958	0.0077	103.3506	-0.1589
1.5	0.8517	0.0080	106.4625	-0.1585
2.0	0.9078	0.0083	109.3735	-0.1582
2.5	0.9638	0.0085	113.3882	-0.1578
3.0	1.0197	0.0088	115.8750	-0.1574
3.5	1.0756	0.0090	119.5111	-0.1570
4.0	1.1314	0.0092	122.9783	-0.1566
4.5	1.1867	0.0095	124.9158	-0.1562
5.0	1.2420	0.0097	128.0412	-0.1557
5.5	1.2971	0.0100	129.7100	-0.1551
6.0	1.3504	0.0104	129.8462	-0.1543
6.5	1.3929	0.0118	118.0424	-0.1519
7.0	1.4405	0.0127	113.4252	-0.1502
7.5	1.4875	0.0136	109.3750	-0.1484
8.0	1.5282	0.0149	102.5638	-0.1457
