Gilroy - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
-7.0	0.1246	0.0144	8.6528	-0.1801
-6.5	0.1848	0.0134	13.7910	-0.1812
-6.0	0.2457	0.0121	20.3058	-0.1825
-5.5	0.3064	0.0109	28.1101	-0.1836
-5.0	0.3663	0.0100	36.6300	-0.1842
-4.5	0.4263	0.0093	45.8387	-0.1847
-4.0	0.4857	0.0089	54.5730	-0.1850
-3.5	0.5455	0.0081	67.3457	-0.1856
-3.0	0.5978	0.0082	72.9024	-0.1845
-2.5	0.6535	0.0083	78.7349	-0.1842
-2.0	0.7107	0.0083	85.6265	-0.1842
-1.5	0.7681	0.0083	92.5422	-0.1842
-1.0	0.8255	0.0083	99.4578	-0.1843
-0.5	0.8830	0.0082	107.6829	-0.1843
0.0	0.9398	0.0083	113.2289	-0.1843
0.5	0.9964	0.0083	120.0482	-0.1842
1.0	1.0532	0.0083	126.8916	-0.1843
1.5	1.1089	0.0085	130.4588	-0.1841
2.0	1.1639	0.0087	133.7816	-0.1838
2.5	1.2174	0.0090	135.2667	-0.1833
3.0	1.2690	0.0095	133.5789	-0.1825
3.5	1.3203	0.0100	132.0300	-0.1817
4.0	1.3684	0.0096	142.5417	-0.1805
4.5	1.4144	0.0106	133.4340	-0.1788
5.0	1.4451	0.0129	112.0233	-0.1745
5.5	1.4753	0.0151	97.7020	-0.1701
6.0	1.5186	0.0160	94.9125	-0.1677
6.5	1.5606	0.0169	92.3432	-0.1652
7.0	1.5962	0.0180	88.6778	-0.1616
7.5	1.6282	0.0191	85.2461	-0.1573
8.0	1.6558	0.0204	81.1667	-0.1526
8.5	1.6775	0.0222	75.5631	-0.1472
9.0	1.7011	0.0240	70.8792	-0.1425
9.5	1.7228	0.0260	66.2615	-0.1380
10.0	1.7402	0.0285	61.0596	-0.1335
10.5	1.7372	0.0329	52.8024	-0.1274
11.0	1.7493	0.0363	48.1901	-0.1236
11.5	1.7515	0.0408	42.9289	-0.1195
12.0	1.7481	0.0461	37.9197	-0.1158
12.5	1.7416	0.0523	33.3002	-0.1130
13.0	1.7312	0.0598	28.9498	-0.1115
