WORTMANN FX 63-120 - Re = 1352000
Alfa	Cl	Cd	Cl/Cd	Cm
0.0	0.8269	0.0059	140.1525	-0.1869
0.5	0.8771	0.0066	132.8939	-0.1855
1.0	0.9304	0.0070	132.9143	-0.1848
1.5	0.9849	0.0074	133.0946	-0.1842
2.0	1.0393	0.0077	134.9740	-0.1837
2.5	1.0933	0.0081	134.9753	-0.1831
3.0	1.1464	0.0085	134.8706	-0.1824
3.5	1.1963	0.0092	130.0326	-0.1812
4.0	1.2392	0.0104	119.1538	-0.1788
4.5	1.2824	0.0116	110.5517	-0.1765
5.0	1.3289	0.0125	106.3120	-0.1747
5.5	1.3785	0.0130	106.0385	-0.1733
6.0	1.4278	0.0136	104.9853	-0.1720
6.5	1.4761	0.0141	104.6879	-0.1705
7.0	1.5242	0.0147	103.6871	-0.1690
7.5	1.5690	0.0154	101.8831	-0.1669
8.0	1.6157	0.0158	102.2595	-0.1652
8.5	1.6550	0.0165	100.3030	-0.1621
9.0	1.6954	0.0171	99.1462	-0.1594
9.5	1.6863	0.0201	83.8955	-0.1486
10.0	1.7088	0.0220	77.6727	-0.1436
10.5	1.7325	0.0239	72.4895	-0.1391
11.0	1.7549	0.0261	67.2375	-0.1350
11.5	1.7723	0.0288	61.5382	-0.1307
12.0	1.7922	0.0315	56.8952	-0.1274
12.5	1.8065	0.0350	51.6143	-0.1241
13.0	1.8165	0.0391	46.4578	-0.1209

